"Sites","Clay","Silt","Sand","K2O","Mg","Na100g","K","Elev"
1,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6
2,0.75,0.24,0.02,0.8,10.7,10.4,1.4,2
3,0.74,0.24,0.02,1.7,8.6,10.8,1.9,2
4,0.23,0.26,0.49,0.3,2,1.2,0.3,6
5,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6
6,0.72,0.22,0.03,1.7,6,10.7,1.3,4
7,0.52,0.46,0.02,0.8,6,18.4,2.2,4
8,0.42,0.49,0.08,1.4,19.6,2.5,1.3,3
9,0.74,0.24,0.02,1.7,8.6,10.8,1.9,3
10,0.53,0.44,0.04,1.4,17,11.7,0.5,6
11,0.76,0.2,0.04,2.2,16.4,4.6,1.2,4
12,0.73,0.19,0.02,2.5,5,4.8,1.5,6
13,0.75,0.16,0.07,2.3,31,15.2,1.3,4
14,0.78,0.2,0.02,0.9,7,10.6,0.7,3
15,0.72,0.26,0.03,1,21.2,12.4,1.5,4
16,0.53,0.44,0.04,0.8,12.9,4.7,1.8,6
17,0.73,0.21,0.03,0.7,12.4,1.4,1.4,6
18,0.37,0.61,0.02,2.5,17,10.7,1.1,2
19,0.51,0.46,0.02,2,18.2,16.8,1.6,2
20,0.7,0.22,0.05,2,27.6,10,2.1,4
21,0.57,0.28,0.14,3,12,16,2.6,2
22,0.63,0.31,0.04,1.3,18.6,10.1,1,2
23,0.72,0.21,0.04,0.7,16,10.9,1.8,2
24,0.58,0.39,0.03,1.5,16.6,13.1,1.3,2
25,0.26,0.67,0.07,0.9,17,11.5,1.2,2
26,0.25,0.43,0.32,0.5,15,6.5,0.7,2
27,0.56,0.42,0.02,0.6,16,7.4,1.3,2
28,0.29,0.33,0.38,0.8,13,4.1,0.7,2
29,0.43,0.47,0.1,0.6,15.1,5.9,0.9,3
30,0.44,0.53,0.03,1.4,9,0.7,0.2,3
31,0.58,0.33,0.09,1.4,14.6,10.9,1.2,2
32,0.33,0.34,0.33,1,15.3,4.1,0.7,2
33,0.59,0.36,0.04,2.9,9,1.7,1.1,6
34,0.36,0.4,0.25,0.3,10,1.4,0.6,4
35,0.44,0.17,0.38,1.1,14,5.2,0.7,4
36,0.38,0.56,0.03,0.2,14,10.7,1.1,6
37,0.46,0.49,0.02,1,19.7,7.9,1.3,6
38,0.61,0.34,0.03,1.3,13,11.1,1.3,6
39,0.75,0.2,0.03,0.7,18.6,6.1,1.2,3
40,0.79,0.19,0.02,1.2,16.9,11.4,2.2,3
41,0.75,0.23,0.02,0.7,16.3,10.3,2.5,3
42,0.76,0.19,0.02,1.7,12,8.5,3.7,2
43,0.78,0.21,0.02,1.4,9.7,10.2,3.3,2
44,0.78,0.19,0.02,4,22,3,3.2,2
45,0.78,0.19,0.02,4,22,3,3.2,3
46,0.83,0.15,0.02,3.2,28,22,4.9,2
47,0.72,0.23,0.03,1.5,23.4,18.2,5.1,2
48,0.83,0.15,0.02,3.2,28,22,4.9,2
49,0.62,0.31,0.03,0.7,18,12.3,2.6,3
50,0.82,0.17,0.02,2.1,24.3,8.3,2.2,2
51,0.77,0.2,0.02,1.5,12,7.6,2.2,3
52,0.76,0.17,0.02,1.1,20.3,10.6,2.1,2
53,0.72,0.24,0.03,1.4,10,6.8,2.3,2
54,0.77,0.18,0.03,2.5,13,6.4,2.6,3
55,0.72,0.24,0.03,1.4,10,6.8,2.3,3
56,0.72,0.24,0.03,1.4,10,6.8,2.3,2
57,0.72,0.26,0.02,3.7,14.6,7.8,2.3,2
58,0.72,0.22,0.02,1.2,10.3,5.4,2.3,3
59,0.67,0.29,0.03,1.1,23.2,9.6,2,2
60,0.68,0.3,0.03,1.1,23.9,12.1,2.9,1
61,0.38,0.23,0.39,0.8,15.8,2.6,0.5,3
62,0.36,0.25,0.4,0.3,12.5,2.6,0.4,3
63,0.6,0.34,0.05,0.6,17.6,4.2,0.8,5
64,0.44,0.33,0.23,0.8,19.6,3.2,0.4,6
65,0.5,0.13,0.32,0.4,9.6,3.3,0.5,2
66,0.71,0.24,0.05,1,12.5,10.5,1.4,2
67,0.53,0.44,0.04,1.6,15.8,18,1.7,2
68,0.65,0.32,0.02,0.5,14.8,8,1,1
69,0.6,0.36,0.05,1.6,17.1,10.4,1,2
70,0.58,0.37,0.04,0.8,11.7,5.7,0.7,3
71,0.61,0.33,0.03,1.1,21.7,25.2,1.8,1
72,0.66,0.28,0.05,2.1,13.6,6.6,2.9,1
73,0.62,0.32,0.06,1.2,11,10.4,1.2,1
74,0.6,0.35,0.05,2.6,31.4,7.2,2,2
75,0.58,0.37,0.07,0.6,14.5,4.6,0.8,2
76,0.58,0.33,0.05,1.2,22.4,8.6,1.6,6
77,0.4,0.49,0.1,1.6,9.6,4.4,2,2
78,0.68,0.27,0.03,1.4,6,1.8,0.9,2
79,0.58,0.37,0.04,0.8,11.7,5.7,0.7,2
80,0.62,0.34,0.05,1,10.6,4.3,0.7,6
81,0.65,0.32,0.04,0.7,11.8,5.4,0.8,3
82,0.61,0.28,0.09,0.7,9,8.1,0.8,4
83,0.64,0.28,0.09,0.9,9,7.8,0.9,4
84,0.61,0.33,0.06,0.6,16,0.7,0.6,4
85,0.44,0.34,0.2,0.4,8,3.3,0.5,4
86,0.65,0.32,0.04,0.7,11.8,5.4,0.8,2
87,0.42,0.3,0.26,1.1,9,1.3,1,7
88,0.61,0.33,0.06,0.9,10,6,0.7,6
89,0.75,0.19,0.06,2,13,1.4,0.7,3
90,0.75,0.19,0.06,2,13,1.4,0.7,3
91,0.62,0.24,0.06,0.4,13,0.8,0.6,4
92,0.62,0.24,0.06,0.4,13,0.8,0.6,3
93,0.54,0.25,0.13,1.1,15.3,4.9,1,3
94,0.57,0.31,0.13,0.6,12,0.9,0.8,4
95,0.18,0.16,0.63,0.5,9,0.9,0.6,3
96,0.48,0.42,0.07,0.6,20.7,3.6,1.1,4
97,0.52,0.36,0.09,1.4,13.5,3.2,0.6,3
